Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,MIDCPNIFTY,35503,OPTIDX,PE,9750,MIDCPNIFTY,MIDCPNIFTY 29th APR 9750 PE,MIDCPNIFTY29APR24P9750,2024-04-29,75,0.05
NFO,nse_fo,NIFTY,35504,OPTIDX,CE,20100,NIFTY,NIFTY 10th APR 20100 CE,NIFTY10APR24C20100,2024-04-10,50,0.05
NFO,nse_fo,MIDCPNIFTY,35505,OPTIDX,CE,9775,MIDCPNIFTY,MIDCPNIFTY 29th APR 9775 CE,MIDCPNIFTY29APR24C9775,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35514,OPTIDX,PE,9775,MIDCPNIFTY,MIDCPNIFTY 29th APR 9775 PE,MIDCPNIFTY29APR24P9775,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35515,OPTIDX,CE,9800,MIDCPNIFTY,MIDCPNIFTY 29th APR 9800 CE,MIDCPNIFTY29APR24C9800,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35518,OPTIDX,PE,9800,MIDCPNIFTY,MIDCPNIFTY 29th APR 9800 PE,MIDCPNIFTY29APR24P9800,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35519,OPTIDX,CE,9825,MIDCPNIFTY,MIDCPNIFTY 29th APR 9825 CE,MIDCPNIFTY29APR24C9825,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35520,OPTIDX,PE,9825,MIDCPNIFTY,MIDCPNIFTY 29th APR 9825 PE,MIDCPNIFTY29APR24P9825,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35521,OPTIDX,CE,9850,MIDCPNIFTY,MIDCPNIFTY 29th APR 9850 CE,MIDCPNIFTY29APR24C9850,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35524,OPTIDX,PE,9850,MIDCPNIFTY,MIDCPNIFTY 29th APR 9850 PE,MIDCPNIFTY29APR24P9850,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35525,OPTIDX,CE,9875,MIDCPNIFTY,MIDCPNIFTY 29th APR 9875 CE,MIDCPNIFTY29APR24C9875,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35526,OPTIDX,PE,9875,MIDCPNIFTY,MIDCPNIFTY 29th APR 9875 PE,MIDCPNIFTY29APR24P9875,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35527,OPTIDX,CE,9900,MIDCPNIFTY,MIDCPNIFTY 29th APR 9900 CE,MIDCPNIFTY29APR24C9900,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35528,OPTIDX,PE,9900,MIDCPNIFTY,MIDCPNIFTY 29th APR 9900 PE,MIDCPNIFTY29APR24P9900,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35529,OPTIDX,CE,9925,MIDCPNIFTY,MIDCPNIFTY 29th APR 9925 CE,MIDCPNIFTY29APR24C9925,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35530,OPTIDX,PE,9925,MIDCPNIFTY,MIDCPNIFTY 29th APR 9925 PE,MIDCPNIFTY29APR24P9925,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35531,OPTIDX,CE,9950,MIDCPNIFTY,MIDCPNIFTY 29th APR 9950 CE,MIDCPNIFTY29APR24C9950,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35532,OPTIDX,PE,9950,MIDCPNIFTY,MIDCPNIFTY 29th APR 9950 PE,MIDCPNIFTY29APR24P9950,2024-04-29,75,0.05
