Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,MIDCPNIFTY,35694,OPTIDX,PE,10500,MIDCPNIFTY,MIDCPNIFTY 29th APR 10500 PE,MIDCPNIFTY29APR24P10500,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35695,OPTIDX,CE,10525,MIDCPNIFTY,MIDCPNIFTY 29th APR 10525 CE,MIDCPNIFTY29APR24C10525,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35706,OPTIDX,PE,10525,MIDCPNIFTY,MIDCPNIFTY 29th APR 10525 PE,MIDCPNIFTY29APR24P10525,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35707,FUTIDX,XX,-1,MIDCPNIFTY,MIDCPNIFTY MAR FUT,MIDCPNIFTY22MAR24F,2024-03-22,75,0.05
NFO,nse_fo,MIDCPNIFTY,35709,FUTIDX,XX,-1,MIDCPNIFTY,MIDCPNIFTY MAY FUT,MIDCPNIFTY27MAY24F,2024-05-27,75,0.05
NFO,nse_fo,MIDCPNIFTY,35713,OPTIDX,CE,10550,MIDCPNIFTY,MIDCPNIFTY 29th APR 10550 CE,MIDCPNIFTY29APR24C10550,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35714,OPTIDX,PE,10550,MIDCPNIFTY,MIDCPNIFTY 29th APR 10550 PE,MIDCPNIFTY29APR24P10550,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35721,OPTIDX,CE,10575,MIDCPNIFTY,MIDCPNIFTY 29th APR 10575 CE,MIDCPNIFTY29APR24C10575,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35737,OPTIDX,PE,10575,MIDCPNIFTY,MIDCPNIFTY 29th APR 10575 PE,MIDCPNIFTY29APR24P10575,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35738,OPTIDX,CE,10600,MIDCPNIFTY,MIDCPNIFTY 29th APR 10600 CE,MIDCPNIFTY29APR24C10600,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35740,OPTIDX,PE,10600,MIDCPNIFTY,MIDCPNIFTY 29th APR 10600 PE,MIDCPNIFTY29APR24P10600,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35741,OPTIDX,CE,10625,MIDCPNIFTY,MIDCPNIFTY 29th APR 10625 CE,MIDCPNIFTY29APR24C10625,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35742,OPTIDX,PE,10625,MIDCPNIFTY,MIDCPNIFTY 29th APR 10625 PE,MIDCPNIFTY29APR24P10625,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35743,OPTIDX,CE,10650,MIDCPNIFTY,MIDCPNIFTY 29th APR 10650 CE,MIDCPNIFTY29APR24C10650,2024-04-29,75,0.05
