Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,GBPINR,11535,OPTCUR,PE,106.75,GBPINR,GBPINR10MAY24P106.75,GBPINR 10th MAY 106.75 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11536,OPTCUR,CE,107,GBPINR,GBPINR10MAY24C107,GBPINR 10th MAY 107 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11545,OPTCUR,PE,107,GBPINR,GBPINR10MAY24P107,GBPINR 10th MAY 107 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11546,OPTCUR,CE,107.25,GBPINR,GBPINR10MAY24C107.25,GBPINR 10th MAY 107.25 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11549,OPTCUR,PE,107.25,GBPINR,GBPINR10MAY24P107.25,GBPINR 10th MAY 107.25 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11550,OPTCUR,CE,104.25,GBPINR,GBPINR26APR24C104.25,GBPINR 26th APR 104.25 CE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11551,OPTCUR,PE,104.25,GBPINR,GBPINR26APR24P104.25,GBPINR 26th APR 104.25 PE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11552,OPTCUR,CE,107.5,GBPINR,GBPINR10MAY24C107.5,GBPINR 10th MAY 107.5 CE,2024-05-10,1,0.0025
CDS,cde_fo,EURUSD,11554,OPTCUR,CE,0.95,EURUSD,EURUSD26JUN24C0.95,EURUSD JUN 0.95 CE,2024-06-26,1,0.0001
CDS,cde_fo,EURUSD,11555,OPTCUR,PE,0.95,EURUSD,EURUSD26JUN24P0.95,EURUSD JUN 0.95 PE,2024-06-26,1,0.0001
CDS,cde_fo,JPYINR,11556,OPTCUR,CE,54.5,JPYINR,JPYINR27DEC24C54.5,JPYINR 27th DEC 54.5 CE,2024-12-27,1,0.0025
CDS,cde_fo,JPYINR,11557,OPTCUR,PE,54.5,JPYINR,JPYINR27DEC24P54.5,JPYINR 27th DEC 54.5 PE,2024-12-27,1,0.0025
CDS,cde_fo,GBPINR,11560,OPTCUR,CE,110,GBPINR,GBPINR26MAR24C110,GBPINR 26th MAR 110 CE,2024-03-26,1,0.0025
CDS,cde_fo,GBPINR,11561,OPTCUR,PE,110,GBPINR,GBPINR26MAR24P110,GBPINR 26th MAR 110 PE,2024-03-26,1,0.0025
CDS,cde_fo,JPYINR,11562,OPTCUR,CE,60,JPYINR,JPYINR26JUN24C60,JPYINR JUN 60 CE,2024-06-26,1,0.0025
CDS,cde_fo,JPYINR,11563,OPTCUR,PE,60,JPYINR,JPYINR26JUN24P60,JPYINR JUN 60 PE,2024-06-26,1,0.0025
CDS,cde_fo,GBPINR,11567,OPTCUR,PE,107.5,GBPINR,GBPINR10MAY24P107.5,GBPINR 10th MAY 107.5 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11568,OPTCUR,CE,107.75,GBPINR,GBPINR10MAY24C107.75,GBPINR 10th MAY 107.75 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11569,OPTCUR,PE,107.75,GBPINR,GBPINR10MAY24P107.75,GBPINR 10th MAY 107.75 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11570,OPTCUR,CE,108,GBPINR,GBPINR10MAY24C108,GBPINR 10th MAY 108 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11571,OPTCUR,PE,108,GBPINR,GBPINR10MAY24P108,GBPINR 10th MAY 108 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11572,OPTCUR,CE,108.25,GBPINR,GBPINR10MAY24C108.25,GBPINR 10th MAY 108.25 CE,2024-05-10,1,0.0025
CDS,cde_fo,USDINR,11575,OPTCUR,CE,82.75,USDINR,USDINR07MAR24C82.75,USDINR 7th MAR 82.75 CE,2024-03-07,1,0.0025
CDS,cde_fo,USDINR,11576,OPTCUR,PE,82.75,USDINR,USDINR07MAR24P82.75,USDINR 7th MAR 82.75 PE,2024-03-07,1,0.0025
CDS,cde_fo,USDINR,11577,OPTCUR,CE,82.875,USDINR,USDINR07MAR24C82.875,USDINR 7th MAR 82.875 CE,2024-03-07,1,0.0025
CDS,cde_fo,USDINR,11578,OPTCUR,PE,82.875,USDINR,USDINR07MAR24P82.875,USDINR 7th MAR 82.875 PE,2024-03-07,1,0.0025
CDS,cde_fo,USDINR,11579,OPTCUR,CE,83,USDINR,USDINR07MAR24C83,USDINR 7th MAR 83 CE,2024-03-07,1,0.0025
CDS,cde_fo,USDINR,11580,OPTCUR,PE,83,USDINR,USDINR07MAR24P83,USDINR 7th MAR 83 PE,2024-03-07,1,0.0025
CDS,cde_fo,USDINR,11581,OPTCUR,CE,83.125,USDINR,USDINR07MAR24C83.125,USDINR 7th MAR 83.125 CE,2024-03-07,1,0.0025
